ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
142,2002-11-16 3,23.0,129.3,27.4,0.5,2.0,E,1.0
142,2002-11-16 2,23.3,129.2,27.1,-99.9,-99.9,,-99.9
35,2002-11-16 6,27.9,127.0,24.0,4.0,10.0,,5.0
52,2002-11-16 0,31.6,126.7,21.8,2.0,4.0,,-99.9
139,2002-11-16 6,20.1,126.3,28.0,0.5,2.0,,-99.9
122,2002-11-16 6,34.9,124.7,12.0,0.5,1.0,N,0.5
78,2002-11-16 6,25.6,121.7,25.0,2.0,5.0,E,3.0
105,2002-11-16 0,25.6,128.7,25.1,-99.9,-99.9,N,0.5
122,2002-11-16 0,34.6,124.7,13.0,0.5,3.0,N,0.5
142,2002-11-16 0,23.7,129.0,26.3,0.5,2.0,E,1.0
143,2002-11-16 9,18.6,118.6,28.8,0.5,2.0,N,1.0
142,2002-11-16 9,22.2,129.7,27.4,0.5,3.0,S,1.0
35,2002-11-16 0,28.6,128.9,24.0,4.0,8.0,,4.0
143,2002-11-15 0,24.7,126.2,25.7,1.0,2.0,W,1.0
144,2002-11-15 6,29.5,128.1,21.2,3.0,3.0,N,4.0
145,2002-11-16 0,27.9,127.9,14.5,1.5,3.0,N,3.0
74,2002-11-16 0,23.7,118.3,23.6,2.5,4.0,E,2.0
144,2002-11-15 0,28.8,126.6,21.2,-99.9,3.0,N,4.0
52,2002-11-15 6,30.9,125.8,22.6,2.0,4.0,,-99.9
142,2002-11-16 4,22.9,129.3,27.5,-99.9,-99.9,,-99.9
143,2002-11-16 0,20.5,120.6,29.8,0.5,2.0,N,1.0
142,2002-11-15 9,26.0,127.9,24.8,4.0,8.0,N,4.0
146,2002-11-16 0,21.1,116.3,25.5,0.5,1.0,,-99.9
52,2002-11-16 6,32.8,128.3,21.0,1.5,4.0,N,2.0
142,2002-11-16 1,23.5,129.1,27.2,-99.9,-99.9,,-99.9
91,2002-11-16 6,15.5,128.7,29.0,-99.9,2.0,E,0.5
91,2002-11-15 9,19.7,129.7,27.0,-99.9,2.0,E,1.0
80,2002-11-15 0,15.5,109.5,-99.9,-99.9,-99.9,,-99.9
105,2002-11-15 6,21.9,124.3,27.0,0.5,2.0,N,1.0
142,2002-11-16 8,22.4,129.6,27.5,-99.9,-99.9,,-99.9
142,2002-11-16 6,22.9,129.4,27.5,0.5,3.0,N,1.5
143,2002-11-16 6,19.3,119.3,28.2,0.5,2.0,E,1.0
142,2002-11-16 5,23.0,129.3,27.5,-99.9,-99.9,,-99.9
142,2002-11-16 7,22.6,129.5,27.5,-99.9,-99.9,,-99.9
78,2002-11-16 0,23.4,119.6,26.0,2.0,5.0,E,3.0
143,2002-11-16 3,19.9,119.9,28.2,0.5,2.0,N,0.5
74,2002-11-16 6,24.9,119.8,22.8,2.0,3.0,E,3.0
52,2002-11-16 6,31.4,126.7,22.2,1.5,4.0,,-99.9
142,2002-11-16 10,22.0,129.7,27.1,-99.9,-99.9,,-99.9
31,2002-11-16 0,26.2,121.3,23.0,-99.9,-99.9,,-99.9
