ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
51,2003-4-5 6,23.9,123.9,25.0,1.5,4.0,N,2.0
76,2003-4-5 0,15.2,126.0,29.0,0.5,5.0,E,1.0
77,2003-4-6 0,24.5,119.3,19.0,1.0,2.0,S,2.0
78,2003-4-5 0,22.8,116.9,23.0,3.0,7.0,E,3.5
79,2003-4-5 0,25.0,124.0,25.3,1.5,4.0,N,3.5
80,2003-4-5 0,22.5,120.0,-99.9,-99.9,-99.9,,-99.9
42,2003-4-5 3,16.4,116.4,27.5,0.5,2.0,W,1.5
41,2003-4-6 12,15.4,115.3,29.0,-99.9,-99.9,,-99.9
41,2003-4-5 6,23.6,124.9,23.0,2.5,5.0,,3.0
81,2003-4-5 0,18.0,129.4,27.0,0.5,2.0,W,0.5
82,2003-4-6 12,30.6,122.6,13.0,1.5,2.0,S,1.5
60,2003-4-5 6,34.1,125.7,10.0,-99.9,99.0,,-99.9
83,2003-4-6 12,34.2,128.6,15.0,0.5,2.0,,-99.9
20,2003-4-5 6,33.7,129.2,14.0,2.5,6.0,N,2.0
1,2003-4-6 12,23.1,123.8,25.8,-99.9,-99.9,,-99.9
52,2003-4-6 3,16.6,116.5,27.0,1.5,4.0,E,2.5
84,2003-4-5 0,30.3,129.8,23.7,7.0,7.0,,-99.9
41,2003-4-6 6,17.2,117.1,28.0,2.0,5.0,E,3.0
14,2003-4-5 0,20.7,124.7,24.0,0.5,2.0,N,1.5
41,2003-4-5 0,24.9,126.9,24.0,2.5,5.0,N,3.0
82,2003-4-5 0,30.6,122.6,1.2,1.0,2.0,N,1.0
20,2003-4-6 6,27.1,125.1,21.5,0.5,3.0,E,1.0
33,2003-4-5 0,31.3,128.9,19.0,2.0,2.0,S,4.0
85,2003-4-5 6,28.5,122.3,13.4,2.0,4.0,S,2.0
86,2003-4-5 1,17.2,117.1,27.4,-99.9,4.0,W,1.0
87,2003-4-5 0,17.7,117.0,27.0,0.5,1.0,,-99.9
80,2003-4-4 0,22.3,118.9,-99.9,-99.9,-99.9,,-99.9
18,2003-4-5 0,17.6,119.2,29.1,-99.9,-99.9,,-99.9
85,2003-4-5 0,26.5,121.0,15.8,2.5,6.0,,-99.9
88,2003-4-5 6,32.7,127.2,17.0,1.5,3.0,W,1.5
31,2003-4-5 0,21.8,114.2,24.0,-99.9,-99.9,,-99.9
89,2003-4-5 0,34.7,129.5,1.6,3.0,5.0,,-99.9
90,2003-4-5 6,16.5,113.5,27.8,0.5,1.0,,-99.9
14,2003-4-4 0,24.1,123.1,25.0,0.5,1.0,N,0.5
91,2003-4-4 0,18.4,129.4,26.5,-99.9,-99.9,,-99.9
92,2003-4-5 6,26.1,121.9,21.6,4.5,6.0,N,3.0
87,2003-4-5 6,19.2,118.8,27.0,1.5,4.0,N,1.0
77,2003-4-4 0,33.4,129.0,12.0,0.5,2.0,,-99.9
93,2003-4-5 0,24.6,119.9,-99.9,3.0,8.0,E,3.0
77,2003-4-5 0,29.1,124.1,14.0,0.5,2.0,N,1.0
