ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
45,2002-7-17 9,19.3,120.5,29.0,2.5,5.0,W,2.0
13,2002-7-18 6,15.6,116.2,29.0,1.5,3.0,W,2.0
46,2002-7-18 0,28.8,122.5,26.5,1.5,3.0,S,2.5
47,2002-7-17 6,30.8,125.8,25.0,1.0,2.0,S,2.5
8,2002-7-17 12,15.9,119.4,29.3,-99.9,-99.9,,-99.9
48,2002-7-18 0,25.9,125.2,28.7,1.5,2.0,S,1.5
42,2002-7-18 6,22.0,121.3,29.0,1.0,3.0,W,2.0
49,2002-7-18 12,18.4,114.4,30.0,1.0,3.0,S,1.0
45,2002-7-17 3,19.8,121.9,29.8,2.5,5.0,W,2.0
50,2002-7-17 0,27.8,122.6,-99.9,-99.9,-99.9,,-99.9
20,2002-7-18 6,19.2,119.3,29.0,1.5,4.0,S,2.0
51,2002-7-18 0,21.2,129.6,28.5,0.5,3.0,W,2.0
13,2002-7-18 0,17.0,112.7,29.0,1.5,3.0,W,1.5
52,2002-7-17 3,16.4,115.9,28.5,1.5,4.0,S,3.0
52,2002-7-17 6,15.8,115.5,28.0,1.5,5.0,S,2.5
53,2002-7-17 6,33.5,128.7,25.7,1.5,3.0,W,4.0
47,2002-7-18 6,24.5,126.1,27.0,2.0,4.0,S,4.0
54,2002-7-17 12,18.4,113.5,29.2,1.5,4.0,,-99.9
13,2002-7-17 3,20.4,123.2,29.5,1.0,3.0,W,1.5
45,2002-7-17 9,19.3,120.5,29.0,2.5,5.0,N,0.0
55,2002-7-17 0,28.8,126.9,27.0,1.5,3.0,S,2.0
45,2002-7-17 6,19.7,121.1,29.1,1.0,2.0,W,2.0
20,2002-7-17 12,22.9,122.5,29.5,2.0,4.0,S,3.0
35,2002-7-17 0,18.5,113.5,31.0,2.5,5.0,S,2.5
42,2002-7-17 3,17.1,117.0,28.8,1.5,3.0,W,2.0
56,2002-7-17 6,22.3,117.3,31.0,2.5,4.0,S,3.0
38,2002-7-17 0,17.5,119.9,30.0,2.0,3.0,W,2.5
57,2002-7-17 6,18.9,118.9,31.0,1.5,4.0,S,1.5
56,2002-7-17 0,22.5,119.5,30.0,1.5,5.0,S,1.5
58,2002-7-17 0,30.2,129.3,-99.9,2.0,4.0,S,2.5
59,2002-7-17 6,28.5,124.0,27.0,1.5,5.0,S,3.5
45,2002-7-17 3,19.8,121.9,29.8,2.5,5.0,N,0.0
42,2002-7-17 6,17.6,117.4,29.3,1.5,3.0,W,2.0
60,2002-7-17 0,36.9,130.0,18.0,-99.9,-99.9,N,2.0
18,2002-7-17 6,21.4,124.2,29.5,2.5,5.0,W,2.5
18,2002-7-17 0,22.1,125.4,29.6,0.5,3.0,W,2.5
57,2002-7-17 12,19.9,119.9,31.0,1.5,4.0,S,1.5
31,2002-7-17 0,21.1,112.7,30.0,-99.9,-99.9,,-99.9
46,2002-7-17 0,23.7,119.8,26.6,1.0,3.0,S,1.0
35,2002-7-17 6,20.4,114.0,31.0,2.5,5.0,S,2.5
