ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
131,2002-12-20 6,36.3,129.9,11.6,1.5,3.0,,-99.9
2,2002-12-21 3,25.1,124.3,24.6,0.5,3.0,N,1.0
20,2002-12-20 0,33.3,125.6,17.0,2.0,5.0,E,2.5
132,2002-12-22 12,31.0,122.3,14.6,1.5,4.0,,-99.9
133,2002-12-21 6,19.5,114.2,28.5,1.5,4.0,E,-99.9
134,2002-12-21 0,22.3,123.2,25.5,1.0,2.0,,-99.9
135,2002-12-20 6,23.7,125.7,24.0,2.5,6.0,S,2.5
136,2002-12-20 0,27.2,129.0,-99.9,-99.9,-99.9,,-99.9
35,2002-12-21 6,28.1,125.7,22.0,4.0,10.0,N,5.0
137,2002-12-21 6,23.0,117.3,-99.9,2.0,5.0,,-99.9
20,2002-12-21 3,28.6,127.1,25.0,3.0,5.0,N,3.5
135,2002-12-20 0,24.8,126.8,23.0,-99.9,-99.9,S,1.5
28,2002-12-20 0,34.9,129.4,17.0,2.0,4.0,,-99.9
91,2002-12-21 3,16.4,129.0,27.0,0.5,3.0,E,1.5
86,2002-12-21 7,16.0,116.9,27.5,-99.9,2.0,N,1.0
109,2002-12-21 0,32.5,123.7,-99.9,-99.9,-99.9,,-99.9
138,2002-12-21 6,31.8,126.3,17.8,2.0,7.0,N,2.0
133,2002-12-21 0,18.3,114.1,28.1,0.5,2.0,,-99.9
8,2002-12-21 0,22.1,122.2,26.1,0.5,4.0,E,1.0
59,2002-12-22 0,19.3,113.8,25.0,1.5,4.0,E,2.0
91,2002-12-21 0,17.1,129.1,27.0,0.5,3.0,E,1.0
17,2002-12-21 6,33.5,129.0,17.5,1.5,4.0,E,3.0
29,2002-12-21 0,18.4,122.3,-99.9,1.0,4.0,E,2.5
8,2002-12-21 6,23.8,123.0,24.8,1.0,3.0,N,1.5
135,2002-12-22 0,16.0,117.6,27.5,1.0,4.0,W,-99.9
139,2002-12-22 6,15.8,125.3,28.0,0.5,2.0,E,0.5
78,2002-12-22 0,16.6,111.1,27.0,2.0,5.0,E,2.5
91,2002-12-21 6,15.7,128.8,27.5,0.5,2.0,E,1.0
140,2002-12-21 0,26.8,129.5,24.0,-99.9,-99.9,E,2.0
20,2002-12-21 6,28.0,127.5,24.0,2.5,5.0,N,3.5
136,2002-12-21 0,22.7,129.9,-99.9,-99.9,-99.9,,-99.9
77,2002-12-22 6,26.7,121.6,20.0,2.0,5.0,,-99.9
141,2002-12-22 6,17.3,116.8,28.0,0.5,2.0,E,2.0
134,2002-12-21 6,23.7,125.3,25.5,1.5,3.0,W,-99.9
137,2002-12-22 6,26.2,120.8,-99.9,2.5,5.0,E,3.0
135,2002-12-21 6,19.3,121.1,26.2,0.5,5.0,N,0.5
139,2002-12-22 0,17.3,123.8,22.0,0.5,2.0,E,2.0
77,2002-12-21 6,30.6,125.7,18.0,2.0,5.0,,-99.9
132,2002-12-22 6,31.6,124.6,14.9,2.0,5.0,,-99.9
135,2002-12-22 6,15.0,116.5,26.5,1.0,4.0,E,1.0
