ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
30,2002-8-19 0,25.6,121.4,28.0,2.5,4.0,,-99.9
19,2002-8-19 6,22.0,117.6,-99.9,3.0,5.0,S,4.0
31,2002-8-19 0,24.8,119.6,29.0,-99.9,-99.9,,-99.9
32,2002-8-19 12,19.6,120.5,29.0,1.0,2.0,W,4.0
20,2002-8-19 9,19.8,119.6,29.5,2.0,4.0,S,2.5
33,2002-8-19 9,19.9,119.8,29.0,1.0,2.0,S,1.5
24,2002-8-19 9,15.9,115.8,28.1,2.0,4.0,S,3.0
34,2002-8-19 0,31.5,124.2,21.0,1.5,4.0,,-99.9
33,2002-8-19 0,17.7,119.2,28.9,1.0,2.0,W,2.0
35,2002-8-19 6,21.0,114.8,29.0,8.0,18.0,S,10.0
20,2002-8-19 12,20.6,120.2,29.5,2.0,4.0,S,2.5
33,2002-8-19 3,18.6,119.2,29.0,1.0,2.0,S,1.5
36,2002-8-19 6,35.3,123.3,27.0,0.5,2.0,,-99.9
24,2002-8-19 6,16.5,116.3,28.7,1.5,4.0,S,3.0
33,2002-8-19 0,18.6,118.3,30.0,-99.9,99.0,,-99.9
31,2002-8-19 12,28.3,122.3,29.0,-99.9,-99.9,,-99.9
33,2002-8-19 6,19.8,119.3,30.0,-99.9,99.0,,-99.9
24,2002-8-19 12,15.2,115.2,26.7,2.0,4.0,S,3.0
37,2002-8-19 12,38.3,121.6,25.0,-99.9,-99.9,,-99.9
24,2002-8-19 0,17.7,117.4,28.8,1.5,4.0,S,2.0
35,2002-8-19 3,21.6,114.5,29.0,6.0,12.0,S,9.0
38,2002-8-19 6,17.8,120.0,30.0,1.5,3.0,W,2.5
35,2002-8-19 9,20.4,115.1,29.0,8.0,14.0,S,10.0
32,2002-8-19 0,23.2,124.1,29.2,-99.9,2.0,E,3.0
39,2002-8-19 6,27.8,129.4,29.1,3.0,6.0,E,3.0
40,2002-8-19 12,24.0,126.7,29.0,-99.9,-99.9,,-99.9
24,2002-8-19 3,17.1,116.9,28.9,1.5,4.0,S,2.5
31,2002-8-19 6,26.4,121.0,29.0,-99.9,-99.9,,-99.9
41,2002-8-19 6,22.4,117.5,29.0,2.0,5.0,E,2.5
42,2002-8-19 6,21.4,121.7,29.1,1.0,3.0,S,2.5
35,2002-8-19 12,19.6,115.0,29.0,8.0,14.0,S,8.0
43,2002-8-19 0,22.5,122.4,30.0,1.0,2.0,S,1.0
37,2002-8-19 6,37.5,123.2,26.0,-99.9,-99.9,,-99.9
42,2002-8-19 0,20.1,120.3,29.0,1.0,3.0,S,2.5
38,2002-8-19 12,19.3,120.8,-99.9,-99.9,-99.9,,-99.9
38,2002-8-19 0,15.9,119.4,29.5,2.0,6.0,W,4.0
33,2002-8-19 3,19.2,119.0,30.0,-99.9,99.0,,-99.9
44,2002-8-19 0,23.2,127.2,29.5,0.5,1.0,E,2.0
39,2002-8-19 0,26.9,128.6,29.0,2.0,8.0,N,2.0
20,2002-8-19 0,17.6,118.0,29.0,2.0,5.0,S,2.5
