ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
106,2003-2-27 0,18.6,119.5,26.0,0.5,3.0,N,0.5
61,2003-2-27 0,24.5,127.5,21.7,0.5,3.0,E,1.0
12,2003-2-27 0,31.9,129.1,18.8,1.5,5.0,,-99.9
107,2003-2-27 6,16.8,124.7,27.0,1.5,9.0,W,2.0
12,2003-2-27 10,32.5,129.4,15.5,-99.9,-99.9,,-99.9
108,2003-2-27 0,20.7,121.4,26.0,1.0,2.0,E,2.0
12,2003-2-27 6,32.5,129.4,15.3,2.5,5.0,,-99.9
12,2003-2-27 3,32.2,129.2,16.9,1.5,5.0,,-99.9
76,2003-2-27 0,20.0,119.4,24.0,1.5,4.0,E,2.0
109,2003-2-27 0,29.1,129.3,-99.9,-99.9,-99.9,,-99.9
12,2003-2-27 8,32.5,129.4,15.7,2.5,5.0,N,0.0
12,2003-2-27 1,32.0,129.1,16.5,-99.9,-99.9,,-99.9
68,2003-2-27 6,17.5,125.5,-99.9,1.0,4.0,E,1.5
80,2003-2-27 6,20.3,118.0,-99.9,-99.9,-99.9,,-99.9
13,2003-2-27 6,19.0,118.6,24.2,0.5,3.0,E,1.5
18,2003-2-27 6,27.2,127.0,23.5,0.5,2.0,,1.0
108,2003-2-27 6,22.1,122.2,25.0,1.0,2.0,E,1.5
110,2003-2-26 6,15.6,115.8,27.0,1.0,2.0,E,1.5
8,2003-2-26 0,24.6,129.7,21.1,-99.9,2.0,E,0.5
12,2003-2-26 4,29.6,128.9,23.4,-99.9,-99.9,,-99.9
106,2003-2-26 6,16.6,116.6,27.0,0.5,4.0,N,0.5
12,2003-2-27 4,32.4,129.3,15.5,-99.9,-99.9,,-99.9
111,2003-2-27 6,18.5,120.2,27.0,0.5,1.0,W,1.0
80,2003-2-26 0,21.9,117.1,-99.9,-99.9,-99.9,,-99.9
12,2003-2-27 2,32.1,129.1,16.9,-99.9,-99.9,,-99.9
54,2003-2-26 0,15.0,112.5,26.8,1.5,2.0,E,3.0
12,2003-2-26 3,29.3,129.0,22.7,0.5,2.0,E,1.0
12,2003-2-26 9,30.3,128.9,21.6,0.5,2.0,N,1.0
12,2003-2-27 7,32.5,129.4,15.7,2.5,5.0,E,1.5
8,2003-2-27 0,21.4,124.3,24.9,-99.9,-99.9,E,1.0
111,2003-2-27 0,15.9,119.5,27.0,1.0,4.0,E,1.5
13,2003-2-26 9,23.4,124.5,22.7,-99.9,1.0,E,1.0
109,2003-2-26 0,34.2,128.0,-99.9,-99.9,-99.9,,-99.9
80,2003-2-27 0,22.5,119.5,-99.9,-99.9,-99.9,,-99.9
80,2003-2-26 6,22.2,118.6,-99.9,-99.9,-99.9,,-99.9
112,2003-2-27 0,37.3,129.8,9.0,0.5,3.0,N,1.5
107,2003-2-27 0,18.4,123.2,27.2,-99.9,-99.9,,-99.9
12,2003-2-27 5,32.5,129.3,15.6,-99.9,-99.9,,-99.9
12,2003-2-26 6,29.8,129.0,23.3,0.5,2.0,N,1.0
13,2003-2-27 0,20.3,120.3,25.0,1.0,3.0,E,2.0
