ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
19,2003-2-10 0,25.4,124.3,23.8,-99.9,99.0,E,1.0
16,2003-2-10 0,32.5,123.6,-99.9,-99.9,-99.9,,-99.9
61,2003-2-10 0,18.2,126.8,25.7,1.0,4.0,E,2.0
113,2003-2-10 6,31.0,125.7,15.0,0.5,8.0,N,1.0
114,2003-2-10 0,32.6,126.3,15.0,1.0,3.0,E,1.0
52,2003-2-10 6,23.1,123.2,22.5,0.5,5.0,W,1.0
12,2003-2-10 3,28.9,126.1,17.9,0.5,3.0,S,1.0
115,2003-2-10 0,16.2,127.3,27.0,1.0,2.0,,-99.9
80,2003-2-10 6,20.2,111.0,-99.9,-99.9,-99.9,,-99.9
92,2003-2-10 6,26.6,123.0,17.4,1.5,-99.9,,-99.9
12,2003-2-10 5,28.9,126.0,17.5,2.5,5.0,N,0.0
116,2003-2-10 6,21.8,121.9,25.0,-99.9,8.0,E,-99.9
112,2003-2-10 12,39.0,129.8,10.0,0.5,3.0,,-99.9
61,2003-2-10 3,18.8,126.9,25.6,0.5,4.0,E,2.0
12,2003-2-10 6,28.9,126.0,17.5,2.5,5.0,N,1.5
12,2003-2-10 9,28.8,126.2,17.7,0.5,3.0,N,1.0
19,2003-2-10 6,26.6,125.6,24.0,0.5,1.0,,1.5
116,2003-2-11 6,26.7,125.8,22.0,1.5,2.0,N,2.5
12,2003-2-10 7,28.9,125.9,17.4,-99.9,-99.9,,-99.9
12,2003-2-10 8,28.9,126.0,17.6,-99.9,-99.9,,-99.9
12,2003-2-11 5,27.7,127.8,22.5,2.5,5.0,N,0.0
84,2003-2-10 0,19.7,119.9,23.0,1.5,3.0,E,1.0
52,2003-2-10 9,22.5,122.6,24.0,0.5,4.0,S,1.0
12,2003-2-11 1,28.0,127.4,23.0,-99.9,-99.9,,-99.9
52,2003-2-11 0,19.8,119.7,23.0,0.5,3.0,E,1.0
12,2003-2-10 1,28.9,126.6,20.9,-99.9,-99.9,,-99.9
52,2003-2-11 6,19.1,118.1,27.5,-99.9,3.0,N,1.0
61,2003-2-11 0,23.2,127.9,23.1,0.5,3.0,E,1.0
105,2003-2-10 0,26.4,129.6,21.0,1.0,3.0,N,0.5
92,2003-2-10 0,26.9,123.8,22.0,1.0,3.0,E,2.0
117,2003-2-10 6,34.9,129.5,13.9,0.5,1.0,,-99.9
80,2003-2-10 0,20.1,109.8,-99.9,-99.9,-99.9,,-99.9
113,2003-2-10 0,29.7,124.8,16.7,1.0,3.0,E,1.0
100,2003-2-10 6,35.7,129.9,8.0,0.5,5.0,N,1.5
56,2003-2-11 6,26.3,122.3,20.0,2.0,4.0,N,2.5
100,2003-2-10 0,37.3,130.0,-99.9,0.5,5.0,,-99.9
118,2003-2-10 6,34.5,130.0,-1.6,1.5,5.0,,-99.9
12,2003-2-10 6,28.9,126.0,17.5,2.5,5.0,N,0.0
12,2003-2-10 0,28.8,126.8,20.8,0.5,2.0,S,1.0
12,2003-2-10 10,28.7,126.3,17.3,-99.9,-99.9,,-99.9
