ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
69,2003-8-20 6,16.3,115.0,28.0,1.5,6.0,W,-99.9
20,2003-8-20 6,33.8,129.4,26.0,1.0,3.0,S,1.5
70,2003-8-20 12,16.3,113.4,29.0,2.5,-99.9,,-99.9
33,2003-8-20 6,21.3,123.5,31.0,2.5,4.0,S,4.0
71,2003-8-20 12,16.6,116.3,28.3,2.0,5.0,W,3.0
72,2003-8-20 6,19.6,126.6,32.0,2.5,5.0,S,3.0
71,2003-8-20 6,15.8,115.5,-99.9,1.5,4.0,W,2.0
73,2003-8-19 0,15.7,116.8,28.8,-99.9,-99.9,,-99.9
74,2003-8-20 12,21.3,114.4,29.9,-99.9,-99.9,,-99.9
75,2003-8-20 6,31.1,124.0,29.0,-99.9,-99.9,,-99.9
74,2003-8-20 6,19.8,113.7,30.0,2.0,4.0,N,2.0
