ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
80,2003-1-14 6,17.9,107.7,-99.9,-99.9,-99.9,,-99.9
96,2003-1-14 0,24.0,123.0,24.0,1.0,3.0,S,1.0
119,2003-1-15 0,20.5,120.7,23.0,-99.9,-99.9,,-99.9
120,2003-1-15 6,23.2,122.0,30.0,1.5,5.0,N,0.5
92,2003-1-15 6,30.9,126.0,16.0,2.0,-99.9,N,3.0
121,2003-1-14 6,17.3,117.2,25.3,1.0,1.0,N,2.0
49,2003-1-15 0,36.8,129.8,13.9,1.0,2.0,N,1.5
19,2003-1-15 0,20.4,118.5,24.0,1.5,5.0,N,2.5
20,2003-1-15 6,18.5,118.5,24.5,3.5,7.0,N,4.0
108,2003-1-15 6,23.4,127.5,23.1,2.5,4.0,N,4.0
74,2003-1-14 0,32.2,129.3,16.1,1.0,2.0,N,1.0
122,2003-1-15 6,21.5,116.8,23.0,4.0,8.0,N,4.0
119,2003-1-15 6,21.2,121.6,24.5,-99.9,-99.9,,-99.9
20,2003-1-15 9,17.8,117.8,25.0,3.5,7.0,N,4.0
123,2003-1-14 6,27.9,122.8,17.0,1.5,3.0,E,2.0
124,2003-1-15 0,30.3,125.6,-99.9,-99.9,-99.9,,-99.9
125,2003-1-15 6,29.3,124.5,-99.9,-99.9,-99.9,,-99.9
24,2003-1-14 6,28.8,129.3,22.0,1.0,4.0,N,2.0
20,2003-1-14 0,25.1,123.8,24.0,1.5,5.0,N,1.5
126,2003-1-15 0,18.0,129.6,27.0,0.5,4.0,N,0.5
119,2003-1-14 6,17.2,117.3,27.0,-99.9,-99.9,,-99.9
77,2003-1-14 6,34.3,129.5,17.0,1.0,2.0,,-99.9
127,2003-1-15 0,19.4,129.5,26.0,2.5,3.0,N,2.5
120,2003-1-14 6,20.2,123.8,33.0,0.5,4.0,,-99.9
20,2003-1-15 3,19.1,119.2,25.0,3.5,7.0,E,4.5
127,2003-1-15 9,21.7,130.0,26.0,2.0,3.0,N,2.5
108,2003-1-14 6,20.2,122.2,26.4,1.0,2.0,E,3.0
33,2003-1-15 6,22.1,124.8,-99.9,1.5,7.0,N,1.0
128,2003-1-15 6,19.9,113.7,22.3,2.5,6.0,E,3.0
61,2003-1-15 0,17.0,126.8,26.4,1.5,4.0,E,2.5
125,2003-1-14 6,33.3,128.8,-99.9,-99.9,-99.9,,-99.9
129,2003-1-15 6,22.1,124.8,-99.9,1.5,7.0,N,1.0
122,2003-1-15 0,20.0,116.0,23.0,2.0,6.0,N,2.0
122,2003-1-14 6,15.4,113.1,25.0,2.0,4.0,N,2.0
51,2003-1-14 6,18.1,129.5,27.5,1.5,4.0,N,2.5
123,2003-1-14 0,26.7,122.6,23.0,1.5,3.0,E,2.0
130,2003-1-15 6,22.1,116.1,21.8,2.0,6.0,N,4.0
68,2003-1-14 6,29.0,123.7,-99.9,1.0,6.0,N,1.5
108,2003-1-15 0,23.6,126.2,23.1,4.0,6.0,N,4.0
55,2003-1-15 6,22.3,115.9,21.0,3.0,6.0,E,3.0
