ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
47,2003-3-26 6,24.2,124.5,-99.9,0.5,3.0,E,1.5
94,2003-3-27 12,26.0,123.4,17.5,-99.9,-99.9,,-99.9
80,2003-3-27 0,21.4,114.7,-99.9,-99.9,-99.9,,-99.9
95,2003-3-26 6,20.8,118.4,23.0,1.0,4.0,E,2.0
96,2003-3-27 0,24.9,124.0,24.6,0.5,1.0,N,0.5
97,2003-3-26 6,26.9,123.6,19.5,0.5,4.0,,-99.9
56,2003-3-26 6,27.5,124.6,20.0,1.0,3.0,,-99.9
14,2003-3-27 0,21.4,127.3,25.0,0.5,1.0,E,1.5
39,2003-3-26 12,24.3,129.7,21.5,1.0,4.0,E,1.0
86,2003-3-27 0,28.2,127.0,-99.9,1.5,4.0,S,3.0
14,2003-3-26 0,21.7,127.3,25.0,0.5,1.0,E,2.0
98,2003-3-26 0,23.7,118.2,-99.9,1.5,3.0,N,1.5
91,2003-3-27 6,18.0,128.4,26.0,0.5,3.0,E,1.0
18,2003-3-27 12,15.4,118.8,29.0,-99.9,-99.9,,-99.9
99,2003-3-27 12,18.6,113.5,-99.9,0.5,3.0,,-99.9
31,2003-3-27 0,20.3,111.1,23.0,-99.9,-99.9,,-99.9
80,2003-3-26 0,20.1,109.9,-99.9,-99.9,-99.9,,-99.9
100,2003-3-27 0,36.2,130.0,7.1,0.5,4.0,S,1.5
101,2003-3-26 6,25.0,123.5,24.2,0.5,2.0,E,1.5
102,2003-3-26 0,24.5,126.1,21.0,1.0,4.0,N,1.0
98,2003-3-27 6,28.9,128.4,-99.9,2.5,5.0,W,2.0
97,2003-3-26 0,28.2,125.9,21.2,0.5,6.0,N,1.0
103,2003-3-26 12,26.9,125.9,-99.9,-99.9,-99.9,S,1.0
42,2003-3-27 6,21.7,121.1,26.2,0.5,4.0,E,1.5
97,2003-3-26 12,25.7,121.6,20.6,1.5,99.0,,-99.9
62,2003-3-26 0,24.2,119.0,16.5,0.5,3.0,W,-99.9
96,2003-3-26 0,17.6,119.9,28.5,1.0,1.0,N,1.0
33,2003-3-26 12,20.2,121.2,26.0,-99.9,-99.9,,-99.9
93,2003-3-26 0,19.1,119.1,-99.9,2.0,6.0,E,2.5
94,2003-3-26 0,33.1,128.5,21.0,1.5,4.0,W,-99.9
18,2003-3-27 0,18.0,119.2,27.0,-99.9,-99.9,N,1.0
104,2003-3-26 0,18.3,118.4,25.0,1.5,2.0,,-99.9
105,2003-3-27 6,19.3,120.8,25.0,-99.9,-99.9,E,3.0
98,2003-3-26 6,24.7,112.0,-99.9,1.5,3.0,N,1.0
33,2003-3-27 0,22.6,122.5,25.0,0.5,1.0,E,1.5
2,2003-3-26 6,24.4,123.4,25.1,1.0,4.0,E,0.5
80,2003-3-26 6,20.3,111.0,-99.9,-99.9,-99.9,,-99.9
56,2003-3-26 12,28.7,126.8,22.0,-99.9,-99.9,,-99.9
77,2003-3-26 0,25.3,120.2,16.0,1.0,2.0,,-99.9
39,2003-3-26 6,25.5,128.9,21.0,1.0,3.0,E,1.0
