ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
10,2002-10-15 0,18.7,113.6,27.7,3.0,6.0,E,2.0
11,2002-10-17 3,16.3,115.6,31.0,-99.9,4.0,E,1.0
12,2002-10-17 9,26.1,128.0,27.5,4.0,8.0,N,0.0
13,2002-10-16 9,23.3,124.3,28.0,2.0,4.0,E,2.0
14,2002-10-16 6,15.2,129.8,29.0,-99.9,2.0,N,1.5
15,2002-10-15 0,28.0,125.3,25.6,-99.9,1.0,E,1.0
16,2002-10-17 0,28.4,123.1,-99.9,-99.9,-99.9,,-99.9
17,2002-10-16 6,17.9,117.8,29.1,-99.9,-99.9,E,1.5
18,2002-10-16 6,26.8,126.5,28.7,1.0,2.0,E,1.0
19,2002-10-16 3,26.7,126.6,28.0,0.5,2.0,E,1.0
20,2002-10-17 9,18.3,117.9,29.0,1.0,2.0,E,2.0
21,2002-10-17 0,36.4,129.9,20.0,1.0,4.0,,-99.9
15,2002-10-17 0,30.8,128.2,26.3,-99.9,1.0,N,0.5
20,2002-10-18 3,22.2,121.4,29.0,1.0,4.0,E,2.0
22,2002-10-18 0,25.1,126.8,27.0,2.0,4.0,S,2.5
12,2002-10-18 4,25.7,128.2,27.7,-99.9,-99.9,,-99.9
12,2002-10-18 8,25.7,128.1,27.8,-99.9,-99.9,,-99.9
23,2002-10-18 0,16.5,113.0,28.3,0.5,1.0,,-99.9
12,2002-10-18 9,25.8,128.0,27.5,0.5,2.0,E,1.0
24,2002-10-15 9,22.5,121.5,28.6,1.5,4.0,E,2.5
12,2002-10-17 10,26.2,128.0,27.7,-99.9,-99.9,,-99.9
12,2002-10-18 3,25.9,128.2,27.7,3.0,6.0,N,0.0
25,2002-10-17 6,16.5,126.8,31.5,0.5,4.0,S,-99.9
17,2002-10-15 6,23.1,124.3,28.2,-99.9,-99.9,E,2.0
24,2002-10-16 9,27.1,126.6,28.0,1.0,3.0,E,2.0
19,2002-10-15 3,22.6,122.8,29.2,1.0,3.0,E,2.5
26,2002-10-18 6,18.9,129.8,32.0,1.0,3.0,E,1.0
20,2002-10-18 0,21.4,120.7,29.0,1.0,4.0,E,2.0
12,2002-10-18 6,25.3,128.2,28.0,0.5,3.0,E,1.0
27,2002-10-17 0,22.2,126.4,25.0,1.0,3.0,W,1.5
22,2002-10-18 6,26.2,128.9,28.0,0.5,3.0,E,1.0
11,2002-10-15 0,24.2,125.6,29.0,-99.9,5.0,E,1.5
28,2002-10-15 0,34.7,129.9,-99.9,-99.9,-99.9,,-99.9
20,2002-10-18 6,23.0,121.8,29.0,0.5,4.0,E,2.0
29,2002-10-17 0,29.7,123.4,24.1,0.5,3.0,,-99.9
16,2002-10-18 0,34.0,128.7,-99.9,-99.9,-99.9,,-99.9
19,2002-10-17 0,32.4,128.3,26.0,0.5,2.0,N,0.5
12,2002-10-17 9,26.1,128.0,27.5,4.0,8.0,E,2.0
18,2002-10-15 0,20.2,121.2,29.6,1.0,2.0,E,1.5
24,2002-10-16 6,26.6,125.9,27.7,1.0,2.0,S,1.0
